id;date;message;status;user_id
1;2023-09-28T19:58:26;paintwork relent;AVISOIMPORTANTE;1
2;2023-09-29T00:54:16;mediocre;PROMOCIONESPECIAL;2
3;2023-09-29T10:08:56;boohoo viciously angrily;AVISOIMPORTANTE;1
4;2023-09-28T15:28:47;ugh sternly boldly;TRANSACCIONEXITOSA;2
5;2023-09-28T19:40:05;up;TRANSACCIONEXITOSA;1
6;2023-09-29T07:47:56;gadzooks near jell;PROMOCIONESPECIAL;2
7;2023-09-28T14:03:56;besides aside unsung;PROMOCIONESPECIAL;1
8;2023-09-28T13:17:53;minute energetically offensively;PROMOCIONESPECIAL;1
9;2023-09-28T23:37:13;anglicise;SOLICITUDAMIGO;2
10;2023-09-29T02:07:54;unlawful;ACTUALIZACIONCUENTA;1
