id;balance;date;status;user_from_id;user_to_id;crypto_id
1;26563.71;2023-09-29T06:50:09;CANCELADA;1;1;1
2;16437.71;2023-09-29T07:49:45;CANCELADA;2;2;2
3;6781.92;2023-09-29T00:16:37;COMPLETADA;1;2;3
4;1572;2023-09-28T21:45:25;APROBADA;1;2;4
5;31259.48;2023-09-28T22:00:04;PENDIENTE;2;2;5
6;13769.87;2023-09-29T08:00:41;APROBADA;2;1;6
7;14312.38;2023-09-29T05:38:35;CANCELADA;1;2;7
8;8291.94;2023-09-29T04:43:07;COMPLETADA;2;2;8
9;21307;2023-09-29T05:13:26;COMPLETADA;1;1;9
10;2170.39;2023-09-29T01:33:47;APROBADA;2;2;10
